SubID,EyeComponents,HeartArtifacts,CompsToReview
036M_JK,"2,16",,
037M_JD,2,,
059M_HP,"1,5",,
061M_LG,2,,
068M_CB,"1,8",,
091M_SW,1,,
093M_BR,"1,5",,
103M_JK,"4,12",,
106M_NH,"1,2",6,
108M_CY,,,
114M_CS,"1,11",,
118M_CS,7,,
133M_DC,,,
134M_JM,,,
136M_JC,"1,2",9,18:22
147M_EB,1,,23
186M_AF,1,,
189M_WM,"2,16",,26
191M_DM,,,
203M_VF,"2,23,27",,"14,17,19,30"
205M_LE,"1,5,14,25",9,"10,18,20,21"
220M_NB,"1,2,8",,"12,19,20,22"
221M_SJ,"1,2,17",,
226M_SM,1,9,13
234M_SW,"2,12",16,
235M_JM,1,,27
240M_FM,"1,3",,
243M_JB,5,,
265M_EZ,1,9,
279M_FT,,,
289M_AS,1,7,
291M_KS,"1,2",9,11
301M_MO,"8,15",,
302M_BS,1,11,"5,8,17,18,19,20,21,22,23"
303M_SA,"4,14,15,20,24",,
314M_LK,"1,5",,
323M_CZ,"1,9,17",16,
325M_KR,"1,21",,
328M_EW,"7,21,27",11,
331M_CL,"6,8",,16
338M_SC,5,,
339M_YV,"2,9",,"12,19,20,27,28,29"
352M_MK,"1,6",,
353M_AT,"1,2",,"3,13:19,25"
374M_PP,"1,4",17,
377M_BL,"1,2,27",,
378M_MG,"1,8",7,"9,11,15,16,18,19,20"
384M_PD,"1,9",,
392M_PH,"1,2,6",,
398M_LO,"1,2",,
400M_ED,"1,8,28",,
404M_RO,1,,
414M_LA,2,,
418M_AM,"1,2",,
422M_MK,"1,14",5,"10,16"
427M_SS,"1,17",12,
439M_TM,1,,"8,10,13"
453M_LB,"1,2,5",,
458M_AH,"1,4",5,
484M_AI,"1,8","19,23",
AA_15_04_14,,,
AC_13_05_14,"1,4",,
AR_08_04_14,,,
AS_23_04_14,,,
EL_24_05_14,"1,2",,
GW_09_05_14,"1,7",,
JC_23_05_14,"1,6",,
LK_07_04_14,,,
MH_14_04_14,,,
ND_16_05_14,"1,6",,
NT_16_04_14,2,,
OF_28_04_14,1,,11
OM_07_05_14,,,
OS_09_05_14,1,4,3
PR_20_04_14,1,,
RM_06_05_14,,,
RO_25_04_14,,,
SB_08_05_14,"1,8,20",,
SF_20_05_14,1,,
SH_25_05_14,"7,8",,
TL_23_05_14,"1,7",,"3,18"