SubID;Excluded Trials;Excluded Channels;Comments
036M_JK;;;Not epoched - TA: Wrong number of blocks
037M_JD;110,111;;
059M_HP;27,80,81,118,152,188,200,251;;
061M_LG;126;;
068M_CB;19,20,57,73,74,75,76,77,78,79,80,81,106,110,238,272;;
091M_SW;37,99;;
093M_BR;172,208;;
103M_JK;36,252;;
106M_NH;1,2,265,266,267,276;;
108M_CY;68,69,140,141,152,153,185,216,227,254;;
114M_CS;75;;
118M_CS;11,70,188,189;;
133M_DC;285,286,287;;
134M_JM;57,77,90,98,146,154,167,172,272;;
136M_JC;37,42,43,49,55,56,69,70,85,89,90,100,101,103,104,107;;*Potentially exclude channel 33
147M_EB;55;;
186M_AF;163,192,193,194;;
189M_WM;29,30,48,83,123,144,161;;
191M_DM;40,41,45,46,56,57,58,59,61,62,68,69,70,79,93,102,103,119,127,128,135,141,144,152,164,180,187,198,215,217,228,231,243;;
203M_VF;214;;
205M_LE;18,112,178,179,217;;
220M_NB;;;
221M_SJ;5,142,143,277;;
226M_SM;55,56;;
234M_SW;2,4,5,269;;
235M_JM;18,101;;
240M_FM;;;
243M_JB;237,239,250,251,259,262,278,279;;
265M_EZ;73,74,77,100,235,236,271;;
279M_FT;281,282;;*Review this - are the remaining bad trials eye artefacts?
289M_AS;13,14,121,225;;
291M_KS;101,151;;
301M_MO;34,88,96,97,98,99,100,101,102,103,104,105,127,187,209,221,222, 229,236,237,240,241,248,277,278,284;;
302M_BS;15,25,40,59,66,83,91,95,96,105,106,108,115,128,148,234;;
303M_SA;30,35,38,40,41,48,61,63,70,87,92,99,106,107,111,132,152,190,225,261,266;;
314M_LK;69,266;;
323M_CZ;87,88;;
325M_KR;35,219;;
328M_EW;18;;
331M_CL;11,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,73,86, 109,110,111,112,113,114,115,116,117;;
338M_SC;;;
339M_YV;91,108,144,189;;
352M_MK;60,184,191,192,217,218,233;;
353M_AT;;;
374M_PP;115,116,197,246;;
377M_BL;;;
378M_MG;;;
384M_PD;271;;
392M_PH;79,169,170,254;;
398M_LO;25,26;;*Review this - eye artefacts or need deletion?
400M_ED;200,253;;
404M_RO;Not epoched;;
414M_LA;;;
418M_AM;;;*Review this - one channel causing issues for a string of trials
422M_MK;;;
427M_SS;37;;
439M_TM;;;
453M_LB;;;*Spikes on single electrodes in moderate number of trials (~15-20)
458M_AH;;;Not epoched
484M_AI;65,122,173;;
AA_15_04_14;;;Not epoched
AC_13_05_14;203;;
AR_08_04_14;;;Not epoched
AS_23_04_14;;;Nil
EL_24_05_14;;;
GW_09_05_14;;;
JC_23_05_14;168,178;;
LK_07_04_14;;;Not epoched
MH_14_04_14;;;Not epoched
ND_16_05_14;68;;
NT_16_04_14;145;;
OF_28_04_14;144,234,249;;
OM_07_05_14;;;Not epoched
OS_09_05_14;116;;
PR_20_04_14;;;Nil
RM_06_05_14;;;Not epoched
RO_25_04_14;15,95,181,192;;*Review - remaining trials exceptionally noisy with strange activity
SB_08_05_14;;;Nil
SF_20_05_14;;;Nil
SH_25_05_14;;;Nil
TL_23_05_14;56;;